0,0,0,255,
0,0,255,255,
255,0,0,255,
255,0,255,255,
0,255,0,255,
0,255,255,255,
255,255,0,255,
255,255,255,255,

192,192,192,255,
169,169,169,255,
128,128,128,255,

65,105,225,255,
135,206,250,255,
70,130,180,255,

220,20,60,255,
255,20,147,255,
255,182,193,255,

147,112,219,255,
238,130,238,255,
221,160,221,255,

32,178,170,255,
144,238,144,255,
128,128,0,255,

0,139,139,255,
127,255,212,255,
175,238,238,255,

255,215,0,255,
154,205,50,255,
255,228,181,255,

255,165,0,255,
255,69,0,255,
255,192,203,255,

0,0,0,0,
